company_name,product_name,date_received,state,complaint_narrative,resolution,date_closed
CAPITAL ONE FINANCIAL CORPORATION,Credit card,4/13/2024,PA,"I recently filed a complaint about this credit card company and their fraud team. They had placed a fraud hold on my account and refused to lift it until I made a XXXX way call with them on the line with my bank. Capital One kept saying they needed to confirm with my bank on the line that it was me making the payment. I filed a complaint with CFPB. I did not feel comfortable having a complete stranger on the line while I gave my bank all of my personal data to get access to my bank account. After they responded to the complaint, I spoke to a gentleman in the fraud department. He took the restriction off my credit card and put a request to open my Quicksilver card. The restriction on the card was lifted but another restriction is on the account now and Capital One keeps saying that the card is closed. It has been escalated to a supervisor XXXX or XXXX times already. 

I opened a CD with Capital One and I also opened a new Venture card. On XX/XX/XXXX I made a payment off {$1000.00} on my Venture card. My balance reflected the payment but not my available credit. I called Capital One and spoke to XXXX, a Senior Supervisor ID XXXX. I told her I was not a new customer to Capital One. I have had credit cards with this bank for several years. I have used the same checking account to make payments before, I have a CD and a high yield savings account with this bank as well. She told me it didn't matter what I had with Capital One that since this was a new card it was treated as a new account and it didn't matter how long I was with Capital One or what products I had. 

They had placed a 7 day hold on my available credit even though they already had the payment. I switched all of my automatic payments to this card and transactions were being denied because of the available credit. XXXX forced me to make a XXXX way call with my bank where she got to hear my account balance and full debit card number. I told her this was how fraud happens. She justified it with "" We are your bank ''. So I guess because it's my bank I can give all of my personal information to them at their leisure? After the phone call with my bank XXXX reads disclosures she was supposed to have read before listening to all of my personal data with my checking account. 

The payment was verified and the hold was lifted. I made a second payment of {$1000.00} on XX/XX/XXXX. The same thing happened. I called Capital One XX/XX/XXXX and was transferred to fraud. I spoke to XXXX ID XXXX. Nobody can tell me why there is another hold on my payment. They won't release the funds unless I make another call with my bank so a complete stranger can listen to how to get access to my checking account. 

I want to know what is up with this bank? Are these practices legal? Does Capital One want to alienate its customers? 

I thought this whole ordeal was resolved with my first complaint and that's why I had opened a CD and a high yield savings account. Had I known nobody fixed anything, I would not have done that. Now I am stuck with a Venture card that I can't use because they keep placing fraud hold on it and my Quicksilver card is still closed and restricted.",Closed with explanation,4/13/2024
"CITIBANK, N.A.",Credit card,4/22/2024,CA,"On XX/XX/XXXX, I noticed an unauthorized charge on my credit card from XXXX XXXX via XXXX  pending on XX/XX/XXXX. It was a charge coming from XXXX ( charged in XXXX ) that I have never made online. I was in the U.S. the entire time and have no plans to visit XXXX this year. I double checked my booking.com account ( updated my password ) and there was no such charge made under my name. I called Citibank immediately to report a "" fraudulent charge ''. The gentleman from Citibank said I do not need to worry about the charges while this charge is under investigation for fraudulent dispute. He canceled my old credit card and issued a new credit card that day. 
I do not know how long Citibank takes to investigate this item ; however, I think it is only reasonable that I be issued a "" conditional credit '' in the meantime while Citibank conducts its investigation. 
On further research, it appears XXXX has been hacked in XXXX. 
I have attached the disputed item from Citibank. ( In general, I do not use my Citicards for international travel due to their foreign transactions fees ).",Closed with monetary relief,4/22/2024
AMERICAN EXPRESS COMPANY,Credit card,4/28/2024,CT,"In XXXX, I received an offer from American Express that arrived via email or the USPS. ( I have been an AmEx customer for many years. ) The offer was : that I apply for and receive a XXXX XXXX XXXX credit card and spend {$15000.00} on the card within XXXX months. AmEx would then pay me a {$750.00} bonus as a credit to the account. 

I fulfilled the terms of the offer clear as a bell. The account opened in XX/XX/XXXX and by the XX/XX/XXXX statement, I had charged much more than the {$15000.00} offer requirement. So I should have received the {$750.00} bonus at that time or soon thereafter. 

When I did not receive the bonus, I contacted AmEx on XX/XX/XXXX and it claimed it had no record of the bonus offer. The service rep started a "" case '' ( reference # XXXX ) to investigate my complaint, but I never heard any reply from AmEx. 

Today, I contacted AmEx again, and it now says that "" no offer is attached to my account '', but the rep said she would start a new complaint "" case ''. 

I have XXXX trust in AmEx at this time and would like the CFPB to investigate/inquire about this on my behalf. I knew about the offer due to AmEx 's promotional mailing, and I fulfilled the terms it specified. I now rely on the CFPB to shame AmEx into living up to its obligations. 

Many thanks for your assistance. 

XXXX XXXX",Closed with explanation,4/28/2024
WELLS FARGO & COMPANY,Checking or savings account,4/15/2024,GA,"This Complaint is against Wells Fargo, let and the method they utilize when they answer complaints. Wells Fargo responds in a general way, with several pages of the same details, as they respond, with the same general published declaratory language used in every response. The response and reply of Wells Fargo is not specific. very limited, and needs to be more precise to the complaint at hand. Basically the goal is an agreeable resolution by both parties. The methods used by Wells Fargo only further validate why Wells Fargo has been voted the most  XXXX  bank in XXXX on many online surveys.",Closed with explanation,4/15/2024
"Shellpoint Partners, LLC",Mortgage,5/14/2024,AL,"MY CURRENT ISSUE WAS NOT LISTED IN CHECK BOX. SEE BELOW. 
As I continue to research and telephone agencies to confirm information on website under legal. I have discovered that current mortgage servicer do not have license to operate in Alabama. Their website is misleading. I have requested for the company to provide proof of license to operate in the state where they are collecting. 

A complaint has been submitted to the State XXXX XXXX STATE BANKING DEPARTMENT regarding XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX unauthorized mortgage servicing activities in Alabama. 

This is being hardship on me as well as my family.",Closed with explanation,5/14/2024
JPMORGAN CHASE & CO.,Checking or savings account,1/24/2022,NY,"Good day, on XX/XX/2021 I attempted to open a business saving account at a XXXX. branch of Chase Bank. During the initial contact all the requested information provided to the Chase bank associate. A check in the amount of {$5000.00} from my federal credit union placed in the Chase bank system. I obtained via U.S. mail an ATM card at my office address. I went to an XXXX branch near my business office to review my account. I was told my account was closed. Assigned customer service at an another XXXX branch and followed up as to why my account was closed. I had a discussions with the Chase associate and online review with Chase Bank Compliance department. XXXX. 
Stated they needed more LLC documentation. The requested items were fax XX/XX/XXXX. Informed the account was okay. A few days later informed the account was closed. I have attempted to get my debited funds returned to date. I need an answer why the account was closed and why my funds are not being returned. Requesting this information in writing. I am a XXXX owned veteran business which has me thinking this is a civil rights violation.",Closed with non-monetary relief,1/24/2022
U.S. BANCORP,Checking or savings account,4/25/2024,FL,"Regarding my company- XXXX XXXX XXXX XXXX XXXX Solely owned by myself since XXXX XXXX I was and am ONLY a

Union bank customer-At no time was I ever a US bank customer client. US bank has changed the terms of my current contract
with Union Bank. Including the interest rate, Payment, and the annual fee. I have investigated this thoroughly, They can also not change the annual fee from the original contract.

A BANK THAT ACQUIRES THE CONTRACT FROM ANOTHER BANK IS REQUIRED TO ABSORB THE OLD CONTRACT- So interest rates and terms will remain the same. I have tried intently to correct there error and have not been able to do so. I have included the original business line of credit contract from Union Bank. US bank has raised my interest rate to 10 % recently for no reason. I have Never had a late or missed payment payment with any bank or creditor

EVER. In my opinion this is Fraud and misrepresentation. US bank must adhere to the original contract i signed. I have included the response letter as well from US bank in the attachments as well. They are claiming they change my old contract terms and fess at will. Banks think they are ABOVE THE Law. That they can do what they please when it is another banks loan. Please help me to correct this error, thank you,",Closed with monetary relief,4/25/2024
WELLS FARGO & COMPANY,Checking or savings account,4/12/2022,GA,"This complaint is regarding an issue with a set of transactions I had while banking with Wells Fargo. To preface this, I have been banking with Wells Fargo since XXXX however this is the last straw and I will be taking my business elsewhere. I filed a claim with Wells Fargo regarding a set of three XXXX transactions for merchandise in XX/XX/XXXX. There were 3 total charges with a grand total of {$990.00}. The issue with these transactions were that the merchandise I paid for, in this case shoes, were not received as described as they were fake and essentially had no value. This was in direct contrast to what the merchant advertised as they were clearly stated to be authentic. After making all of this information clear, providing proof, and filing the claim, Wells Fargo still would not side with me on this dispute for any reason. Fast forward to now and Wells Fargo has broken their own rules by very sneakily refunded certain Wells Fargo customers for so called "" fraudulent transactions '' even though their policies clearly state that XXXX transactions can not be reversed or undone for any reason, which is exactly what they told me regarding these XXXXl transactions however they have made exceptions for other customers for claims worth way more than mine which was less than {$1000.00}. It is ridiculous to me that Wells Fargo would rather lose my business after 11 years than simply do the proper research and cover me for this situation but I will gladly take my money elsewhere now. If anyone has the opportunity to read this, please do yourself a huge favor and bank with literally anyone besides Wells Fargo.",Closed with explanation,4/12/2022
"CITIBANK, N.A.",Credit card,5/31/2025,OH,Macy 's is not processing my disputes properly. I have been unfair charged {$1200.00} from XXXX XXXX in XXXX XXXX XXXX and approximately {$1000.00} by XXXX XXXX in XXXX. I have asked for my refunds and yet Macy 's continues to drag out the dispute. I am blocked from adding documents to support my disputes and find the entire process unfair and unjust.,Closed with explanation,6/11/2025
CAPITAL ONE FINANCIAL CORPORATION,Credit card,3/31/2024,AL,"The credit card company locked my account due to a "" suspected fraud '' for a XXXX  payment on XX/XX/XXXX, which I later authorized it was not a fraud. Capital One sent one message that did not indicate my account was locked. When my car insurance final payment was due on XXXX, Capital One refused to pay, and subsequently, my car insurance was suspended due to non-payment. I tried to pay Car insurance fees within the grace period advertised on their site, which says XXXX days. I made payments online based on what was shown that I needed to renew, then told that the amount was not correct. After making the payment on the same day of my car accident, the insurance activated my coverage the following day. XXXX XXXX XXXX  did not give a grace period and sent communications within their app, requiring sign-in to review documents. I am a XXXX XXXX veteran who had these payments set for auto-pay. I had both credit and the ability to pay. On XX/XX/2024 I was in a car accident that required XXXX  for myself, and another person in the accident XXXX XXXX XXXX. I had paid an entire year of insurance and was ready to renew automatically, but capital one failure to pay on my behalf for the incorrect suspension of my account without confirmation from the owner of the account, I have no car insurance to cover the damages from the accident or to cover my hospital bills. I believe that the credit card company is responsible for the failure to pay, despite having credit available to pay during the date requested by the bank. Insurance and Bank take advantage of online messaging to reduce costs on paperwork, but do not properly notify their customers of risks or damages that can occur until it is too late and too their benefit, not the consumer. I am XXXX person of millions of customers who are not being protected as they describe and have left me without any insurance coverage to provide me during the time I needed it most.

I",In progress,3/31/2024
"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,4/24/2024,TX,"Tuesday XXXX XXXX a fraudulent withdraw of {$3900.00} from my Bank of America account occurred at XXXX XXXX XXXX XXXX XXXXI notified Bank of American Tuesday XX/XX/2024 that I nor did my wife make this withdraw seeing that we are both located in XXXX. Bank of America froze our account and started an investigation. 

We have called weekly for updates on the case with little to no information. Bank of America informed us that they would be sending documents if they needed more information but we have not received anything. Last week on XX/XX/2024 I contacted Bank of America again and they informed me they were waiting on video surveillance of the withdraw and we have heard nothing else. 

I would just like this resolved and my money returned. It seems like a fail on Bank of Americas side because I cant even withdraw that much money without proper identification.",Closed with monetary relief,4/24/2024
Mr. Cooper Group Inc.,Mortgage,6/3/2024,WA,"Our loan loan was being serviced by XXXX originally which they reported it late on our credit during a COVID forbearance. We had to file a complaint back a few months ago to remove the late payments which has been fixed. 

The loan was transferred to Mr. Cooper during the forbearance. It took months to get Mr. Cooper to finalize the forbearance but when it was finalized they claim to have sent mail regarding the terms. They told us to call which we did several times to confirm the final details of the forbearance ending but they continued to tell us we had to wait because it was also too new in their system. 

We logged in yesterday to see the account and it showed it was 30 days past due. We called and they claim the forbearance was finalized as a COVID forbearance and the first payment after the forbearance would be XX/XX/XXXX but we weren't notified. They claimed to have mailed us but we haven't seen the mail and for the first few months they took the loan over they promised our credit would be protected due to the COVID forbearance and the recent servicing transfer but now they're saying the two protections ended and they're going to report late. 

We don't understand why we're under short timelines to finalize a combined COVID forbearance and servicing transfer. We made the payments to get the mortgage caught up but we believe the servicer, who couldn't give any answers for the first 60 days we were notified of the transfer should be giving us grace on the reporting. We proactively contacted them several times hoping they would have clear answers and they didn't. Instead, they promised we would be protected, never called back and claim we were notified with mail only which we didn't receive. They are also claiming the credit protections for the servicing transfer and the COVID forbearance both ended the same time so they started the same time, ended the same time but since the loan was transferred in the middle of the forbearance they didn't extend the protection perpetually. They both ended the same time but the complexity of the situation didn't allow them to give us an answer at the time of the transfer. In short, the protections didn't do what they're supposed to do and the complexity of a loan transfer in the middle of the COVID forbearance prohibited the new servicer from handling the transfer and the end of the forbearance properly resulting in our negative reporting. We wish to have this addressed and the credit reporting corrected.",Closed with explanation,6/5/2024
U.S. BANCORP,Checking or savings account,6/10/2025,NV,XX/XX/XXXX at XXXX XXXX XXXX time my check was deposited from social security and the fourth Wednesday of every month we automatically first thing we do is pay the rent right away so immediately got on the portal of the receiving end enter the information put the money in which I put a little extra this time that way in XXXX and pay less by having a extra in there I sent a {$1000.00} have a receipt from the portal that the payment was in come Saturday I'm taking care of everything and so I really didn't bother to check the bank and apparently it was returned to the bank from the receiver so immediately they took out a fee which they sent back {$980.00} because it was less money so I sent in {$680.00} well it turned out that for some reason XXXX and some never made it so I was concerned that one of the other creditors would take their payment a couple of days early with that money in there and I did not want that to happen until I got this resolved so in the end it turns out where I live that they started tacking on fees and I'm going to end up another {$400.00} that I'm going to have to pay that probably issue me a notice which you have to pay the whole thing or im out so I never knew that my bank had internal small loans to help and right away off the bat they told me I didn't qualify to get one so now I'm in a mess because my rent is unpaid I'm subject to getting a seven day and then I either go to court or I pay the whole amount including all the fees that it's going to be I'm on social security there is just no way I can do this they claim that when that was presented it was {$41.00} short well I took the {$1000.00} out and technically that money is not in play anymore the receiving end already had given me a receipt and had the money well we went ahead and paid cell phone a couple of other things it was still not negative but for some reason they made it negative they sent the biggest one back and that was the first one that was paid that money should not have been involved anymore when there was XXXX and some dollars left so now they have put me in a very bad mess XXXX XXXX XXXX never had an eviction but I'm going to get served a seven day plus all the fees and even if I could try to get the owner to drop some of the fees based on this information I'm screwed because I don't have the money so the only issue now is a week from today is my next social security so now I'm going to have to pay all that out of my next check and then I end up with nothing like right now I have nothing to eat for 7 days and no money and it's going to be the same thing just put me in a bigger hole yet the bank won't admit their mistake and be they have two different loan things within the US Bank that are geared for people that need an emergency anywhere from XXXX to a {$1000.00} and they tell me because it been overdrafted a couple of times in the last couple of months I don't qualify well gee when you do things like that of course it's going to go overdraft and what's the person supposed to do now what do I do with the government not helping anymore and the states now are short on money there is no help XXXX XXXX XXXX yet I look at all the people around me that get free rent don't even work and some of them have never worked and with the rent and what they get is more than what I made working being in business for XXXX and a half years and this is the kind of thing that just XXXX me off the bank caused this problem and refuse to help me,Closed with explanation,6/10/2025
JPMORGAN CHASE & CO.,Checking or savings account,7/13/2024,NC,"It has been 15 months since my account was closed, and I have yet to receive my remaining balance. Despite exhausting all avenues to verify the maker and third party, I have faced consistent obstacles with Chase Bank. Initially instructed to visit the branch with the third party, this attempt proved futile as the bank 's policy had evolved to disallow in-person verifications for held funds. Consequently, I am now required to provide a phone number for the third party, even though the number is registered under her mother 's name, rendering verification challenging. The erroneous mention of "" third party '' name as XXXX XXXX  from an oversight by XXXX, where my store name was not updated to 'XXXX'has further complicated matters ( which I have proof of ). Notably, payment processing is overseen by XXXXXXXX XXXX XXXXXXXX, with XXXX issuing an authorization letter confirming the transfer of funds to my account. Regrettably, XXXX 's communication method exclusively relies on digital channels. Despite having substantial evidence supporting my claim, I find myself at an impasse. I implore you to facilitate the release of my funds promptly or propose an alternative verification method, given that conventional phone verification fails to align with my unique situation. I chose to opt out of arbitration within the 60-day window of opening my account, and this marks my ultimate grievance. If no action is taken, I will begin preparing for litigation and seek national media coverage on this matter.",Closed with explanation,7/13/2024
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Credit card,4/2/2024,PA,"I've consistently upheld punctual payments on this account, preventing any instances of overdue payments. The reports of late payment remarks on my accounts leave me uncertain. According to 15 USC 1666b - Billing Error, corrections should be made.",Closed with non-monetary relief,4/2/2024
JPMORGAN CHASE & CO.,Checking or savings account,7/16/2024,MA,"I Opened a security deposit with my tenant 's funds on XXXX with XXXX XXXX XXXX 
On XX/XX/year> my tenant moved out, I inspected unit and went to above to close account and return my tenant 's money. All XXXX XXXX branch offices were closed and all accounts were transferred to Chase Bank. On XX/XX/year> I went to Chase Bank and they had my other accounts but not my tenant 's security deposit account. I was there for 2 hours as they attempted to find it. It was late in day Friday so XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX, XXXXXXXX XXXX  XXXX contacted XXXX XXXX, and officials at Chase and said to come back Monday. I returned XX/XX/XXXX and XXXX XXXX again contacted XXXX XXXX XXXX I was at the bank, XXXX XXXX XXXX Representative called me and said the account funds would transfer by end of month. On XXXX XXXX I returned to Chase and again XXXX was unable to get my funds released attempting for over an hour. I returned after holiday on XX/XX/XXXX and had the same experience. I have filed complaints with Attorney General and filed a complaint with XXXX XXXXXXXX XXXX  office. I have 30 days to return my tenant 's deposit and the 30 days is up on XX/XX/XXXX. Please advise-do I have to give tenant my money? Please Help!",Closed with explanation,7/16/2024
JPMORGAN CHASE & CO.,Checking or savings account,4/11/2024,LA,"Open Date : XX/XX/2021 Close Date : XX/XX/2021 I did not give permission to report this to anyone because I have a right to privacy, according to 15 USC Code 1681 Section 4.",Closed with explanation,4/11/2024
CAPITAL ONE FINANCIAL CORPORATION,Checking or savings account,3/13/2024,MO,"On XXXX XX/XX/year>, I received a letter from Capital One stating that my information was updated. I spoke to 3 different individuals and all they would tell me is my identity was stolen and that I needed to send a letter to a fax number requesting more information. They were not helpful at all and I don't understand why Capital One would have my information when I didn't even have an open account.",Closed with explanation,3/13/2024
AMERICAN EXPRESS COMPANY,Credit card,3/25/2024,GA,I am a victim of identity theft I have two case numbers with XXXX XXXX police department in Georgia from my purse being stolen I am still suffering from things being opened in my name I am requesting that the company provides an ID as well as my signature to open this account if they do not provide me with a copy of my ID that I have since the report was made then I am demanding that be deleted off of my report this is not my account please remove from my account,Closed with non-monetary relief,3/27/2024
"CITIBANK, N.A.",Checking or savings account,7/28/2024,NY,I tried to make and online purchase to XXXX and it was denied. I called the banks 24hr customer service number to ask why I cant use my card And I was hung up on RUDELY after being told I would have to go into the bank branch its self and they will have to resolve the issue. This wasnt the first time I had to go into the branch and verify myself to receive my money. So on Friday XX/XX/year> I went to the XXXX Citi bank branch in XXXX XXXX to figure out what was going on with my account where I was told that my account was going to be closed and I have to wait 60 days to receive my account balance by mail to the address on file. I then went to the XXXX branch at XXXX XXXX XXXX XXXX XXXX where I was told over the phone my funds could be expedited to me at the branch. Then after nearly XXXX hours of waiting for a XXXX at Citi bank XXXX XXXX XXXX I was told I have to go to XXXX XXXX XXXX because the XXXX branch didnt have a bank supervisor to complete the Transaction and when I got there to ask for XXXX the bank supervisor for XXXX XXXX XXXX XXXX At this point I sat with a banker and he made a call to XXXX which they said I have to wait XXXX days to receive a check for my balance in the mail. After that I called an spoke with XXXX where she spoke to the banker and told him he should go ahead and release my funds to me and he said he wont do it until XXXX gives him the ok. XXXX XXXX the bank to give XXXX a call while she was on the phone an we sat there for over XXXX minutes an XXXX still did not pick up and the banker told me the bank was closing that I should come back on Monday to resolve this. Im not able to get access to my funds the app wont allow me in and the customer service representatives are giving me the run around,Closed with explanation,7/28/2024
